[2026-04-08 10:43:47] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 10:43:47] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 10:48:23] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 10:48:23] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 10:56:42] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 10:56:42] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 10:59:52] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 10:59:52] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:00:31] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:00:31] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:03:03] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:03:03] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:03:51] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:03:51] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:30:22] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:30:22] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:40:46] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 11:40:46] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 14:39:15] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
[2026-04-08 14:39:15] TRANSFER_INIT | FROM: 1111111111111111 | TO: 2222222222222222 | AMOUNT: 1000 RUB | FEE: 10 RUB | RESULT: PENDING
